id_venta,fecha,id_producto,cantidad,precio_unitario,sucursal,metodo_pago
V0028,2026-05-31,P006,2,3200,Oreamuno,Transferencia
V0028,2026-05-31,P025,2,900,Oreamuno,Transferencia
V0028,2026-05-31,P021,1,2400,Oreamuno,Transferencia
V0029,2026-09-11,P021,3,2400,Paraiso,Efectivo
V0029,2026-09-11,P013,4,2500,Paraiso,Efectivo
V0029,2026-09-11,P016,4,1200,Paraiso,Efectivo
V0030,2026-05-27,P016,1,1200,Oreamuno,SINPE
V0030,2026-05-27,P012,4,682,Oreamuno,SINPE
V0030,2026-05-27,P023,3,1350,Oreamuno,SINPE
V0030,2026-05-27,P010,2,2940,Oreamuno,SINPE
V0031,2026-04-19,P029,2,1850,Oreamuno,Tarjeta
V0031,2026-04-19,P030,3,1188,Oreamuno,Tarjeta
V0032,2026-09-10,P027,1,1350,Oreamuno,Tarjeta
V0032,2026-09-10,P018,2,998,Oreamuno,Tarjeta
V0033,2026-01-30,P020,1,1150,Paraiso,SINPE
V0033,2026-01-30,P010,3,2940,Paraiso,SINPE
V0033,2026-01-30,P002,1,1450,Paraiso,SINPE
V0033,2026-01-30,P003,1,950,Paraiso,SINPE
V0034,2026-01-16,P012,3,650,Paraiso,SINPE
V0034,2026-01-16,P010,3,2800,Paraiso,SINPE
V0034,2026-01-16,P015,3,1900,Paraiso,SINPE
V0034,2026-01-16,P029,4,1942,Paraiso,SINPE
V0035,2026-01-05,P029,1,1850,Paraiso,SINPE
V0035,2026-01-05,P002,2,1450,Paraiso,SINPE
V0035,2026-01-05,P003,1,0,Paraiso,SINPE
V0036,2026-08-02,P016,4,1140,Cartago,Transferencia
V0036,2026-08-02,P010,3,2940,Cartago,Transferencia
V0037,2026-03-29,P019,2,2362,Cartago,efectivo
V0037,2026-03-29,P022,3,3500,Cartago,efectivo
V0038,2026-01-09,P018,2,1102,Cartago,Tarjeta
V0038,2026-01-09,P030,3,1250,Cartago,Tarjeta
V0038,2026-01-09,P008,1,2730,Cartago,Tarjeta
V0038,2026-01-09,P007,1,808,Cartago,Tarjeta
V0039,2026-08-03,P006,3,3040,Paraiso,Efectivo
V0039,2026-08-03,P009,4,1838,Paraiso,Efectivo
V0039,2026-08-03,P019,3,2250,Paraiso,Efectivo
V0040,2026-08-08,P011,4,1100,Paraiso,sinpe
V0041,2026-08-19,P029,3,1850,Oreamuno,Tarjeta
V0041,2026-08-19,P025,1,900,Oreamuno,Tarjeta
V0041,2026-08-19,P016,2,1140,Oreamuno,Tarjeta
V0042,2026-09-20,P005,2,1418,Cartago,SINPE
V0042,2026-09-20,P021,3,2520,Cartago,SINPE
V0043,2026-06-09,P017,4,950,Paraiso,Efectivo
V0043,2026-06-09,P028,3,1100,Paraiso,Efectivo
V0043,2026-06-09,P022,2,3500,Paraiso,Efectivo
V0044,2026-03-13,P022,4,3500,Oreamuno,Transferencia
V0045,2026-09-17,P018,1,1102,CARTAGO,Efectivo
V0045,2026-09-17,P026,3,1520,CARTAGO,Efectivo
V0046,2026-08-17,P010,4,2800,Oreamuno,Tarjeta
V0046,2026-08-17,P007,1,892,Oreamuno,Tarjeta
V0047,2026-06-25,P010,4,2800,Paraiso,Transferencia
V0047,2026-06-25,P017,3,950,Paraiso,Transferencia
V0047,2026-06-25,P019,4,2250,Paraiso,Transferencia
V0047,2026-06-25,P025,1,945,Paraiso,Transferencia
V0048,2026-01-03,P019,3,2138,Paraiso,Tarjeta
V0048,2026-01-03,P021,3,2280,Paraiso,Tarjeta
V0048,2026-01-03,P023,2,1282,Paraiso,Tarjeta
V0048,2026-01-03,P008,2,2470,Paraiso,Tarjeta
V0049,2026-06-27,P014,4,3100,Oreamuno,Transferencia
V0050,2026-06-25,P028,4,1155,Oreamuno,Tarjeta
V0050,2026-06-25,P005,2,1418,Oreamuno,Tarjeta
V0051,2026-04-04,P004,2,1800,Oreamuno,Efectivo
V0052,2026-09-08,P008,2,2600,Oreamuno,Transferencia
V0052,2026-09-08,P029,1,1850,Oreamuno,Transferencia
V0052,2026-09-08,P023,2,1418,Oreamuno,Transferencia
V0052,2026-09-08,P027,4,1282,Oreamuno,Transferencia
V0053,2026-08-22,P007,3,850,Cartago,Transferencia
V0053,2026-08-22,P022,3,3325,Cartago,Transferencia
V0053,2026-08-22,P013,3,2375,Cartago,Transferencia
V0054,2026-07-22,P007,3,850,Paraiso,Transferencia
V0054,2026-07-22,P007,3,850,Paraiso,Transferencia
V0054,2026-07-22,P005,4,1350,Paraiso,Transferencia
V0054,2026-07-22,P017,4,950,Paraiso,Transferencia
V0055,2026-06-27,P011,1,1100,Paraiso,Efectivo
V0055,2026-06-27,P019,4,2250,Paraiso,Efectivo
V0056,2026-06-01,P013,4,2500,Cartago,SINPE
V0057,2026-05-30,P003,4,998,Oreamuno,Transferencia
V0057,2026-05-30,P027,3,1350,Oreamuno,Transferencia
V0057,2026-05-30,P014,4,3100,Oreamuno,Transferencia
V0058,2026-08-23,P007,1,850,Paraiso,SINPE
V0058,2026-08-23,P013,1,2625,Paraiso,SINPE
V0058,2026-08-23,P012,4,650,Paraiso,SINPE
V0058,2026-08-23,P027,4,1350,Paraiso,SINPE
V0059,2026-05-29,P020,2,1150,Oreamuno ,SINPE
V0059,2026-05-29,P025,3,945,Oreamuno ,SINPE
V0059,2026-05-29,P030,2,1250,Oreamuno ,SINPE
V0059,2026-05-29,P008,1,2600,Oreamuno ,SINPE
V0060,2026-04-05,P030,4,1312,Cartago,SINPE
V0060,2026-04-05,P009,2,1662,Cartago,SINPE
V0060,2026-04-05,P011,1,1155,Cartago,SINPE
V0060,2026-04-05,P001,4,1312,Cartago,SINPE
V0061,2026-01-31,P025,4,900,Oreamuno,Transferencia
V0062,2026-08-03,P024,4,2100,Paraiso,Efectivo
V0062,2026-08-03,P022,3,3325,Paraiso,Efectivo
V0062,2026-08-03,P019,1,2250,Paraiso,Efectivo
V0062,2026-08-03,P012,3,618,Paraiso,Efectivo
V0063,2026-08-28,P026,2,1680,Paraiso,Transferencia
V0064,2026-05-16,P020,1,1092,Oreamuno,Efectivo
V0065,2026-01-19,P003,2,950,Paraiso,Tarjeta
V0065,2026-01-19,P007,1,892,Paraiso,Tarjeta
V0066,2026-01-09,P005,2,1350,Oreamuno,Transferencia
V0067,2026-05-22,P006,3,3200,Paraiso,Tarjeta
V0068,2026-09-09,P024,3,2100,Cartago,Tarjeta
V0068,2026-09-09,P018,1,998,Cartago,Tarjeta
V0068,2026-09-09,P021,2,2400,Cartago,Tarjeta
V0069,2026-06-08,P026,4,1680,Oreamuno,Transferencia
V0069,2026-06-08,P013,4,2500,Oreamuno,Transferencia
V0069,2026-06-08,P009,4,1750,Oreamuno,Transferencia
V0070,2026-04-27,P005,3,1418,Cartago,Transferencia
V0070,2026-04-27,P001,2,1312,Cartago,Transferencia
V0070,2026-04-27,P018,2,998,Cartago,Transferencia
V0070,2026-04-27,P013,4,2500,Cartago,Transferencia
V0071,2026-01-11,P021,2,2400,Cartago,Transferencia
V0072,2026-08-17,P019,3,2250,Oreamuno,SINPE
V0072,2026-08-17,P016,3,1200,Oreamuno,SINPE
V0072,2026-08-17,P004,4,1710,Oreamuno,SINPE
V0072,2026-08-17,P015,2,1900,Oreamuno,SINPE
V0073,2026-07-28,P025,4,900,Cartago,Transferencia
V0073,2026-07-28,P021,4,2400,Cartago,Transferencia
V0073,2026-07-28,P016,2,1260,Cartago,Transferencia
V0073,2026-07-28,P012,2,682,Cartago,Transferencia
V0074,2026-05-15,P018,2,1050,Cartago,Tarjeta
V0075,2026-05-29,P022,4,3325,Oreamuno,Transferencia
V0075,2026-05-29,P016,2,1200,Oreamuno,Transferencia
V0076,2026-06-10,P011,3,1100,Cartago,Tarjeta
V0076,2026-06-10,P012,1,682,Cartago,Tarjeta
V0076,2026-06-10,P030,1,1312,Cartago,Tarjeta
V0076,2026-06-10,P025,2,945,Cartago,Tarjeta
V0077,2026-08-02,P016,4,1200,Paraiso,Tarjeta
V0077,2026-08-02,P013,3,2500,Paraiso,Tarjeta
V0077,2026-08-02,P026,2,1680,Paraiso,Tarjeta
V0078,2026-04-17,P013,1,2625,Oreamuno,SINPE
V0078,2026-04-17,P007,2,892,Oreamuno,SINPE
V0079,2026-02-13,P030,1,1250,Oreamuno,SINPE
V0079,2026-02-13,P011,3,1100,Oreamuno,SINPE
V0079,2026-02-13,P026,4,1680,Oreamuno,SINPE
V0080,2026-03-14,P019,3,2362,Paraiso,Transferencia
V0080,2026-03-14,P012,4,682,Paraiso,Transferencia
V0081,2026-09-09,P010,3,2660,Cartago,Tarjeta
V0081,2026-09-09,P015,4,1900,Cartago,Tarjeta
V0081,2026-09-09,P007,2,850,Cartago,Tarjeta
V0081,2026-09-09,P004,1,1800,Cartago,Tarjeta
V0082,2026-05-11,P012,2,650,Paraiso,SINPE
V0082,2026-05-11,P003,1,998,Paraiso,SINPE
V0082,2026-05-11,P008,1,2600,Paraiso,SINPE
V0082,2026-05-11,P027,3,1350,Paraiso,SINPE
V0083,2026-01-03,P010,3,2800,Paraiso,transferencia
V0083,2026-01-03,P020,3,1150,Paraiso,transferencia
V0083,2026-01-03,P018,4,998,Paraiso,transferencia
V0083,2026-01-03,P009,1,1838,Paraiso,transferencia
V0084,2026-02-20,P018,4,1050,Oreamuno,SINPE
V0085,2026-08-03,P027,2,1350,Paraiso,Transferencia
V0085,2026-08-03,P018,1,1050,Paraiso,Transferencia
V0086,2026-01-13,P008,1,2470,Paraiso,SINPE
V0086,2026-01-13,P002,2,1450,Paraiso,SINPE
V0086,2026-01-13,P014,1,3100,Paraiso,SINPE
V0087,2026-01-26,P021,1,2280,Paraiso,SINPE
V0087,2026-01-26,P027,2,1350,Paraiso,SINPE
V0087,2026-01-26,P026,4,1600,Paraiso,SINPE
V0087,2026-01-26,P006,2,3040,Paraiso,SINPE
V0088,2026-05-28,P007,4,892,Oreamuno,SINPE
V0088,2026-05-28,P025,4,900,Oreamuno,SINPE
V0089,2026-01-11,P020,1,1092,Paraiso,Tarjeta
V0089,2026-01-11,P015,2,1805,Paraiso,Tarjeta
V0089,2026-01-11,P002,1,1450,Paraiso,Tarjeta
V0090,2026-05-20,P022,3,3500,Cartago,Transferencia
V0090,2026-05-20,P011,1,1100,Cartago,Transferencia
V0090,2026-05-20,P006,2,3360,Cartago,Transferencia
V0091,2026-01-13,P003,1,950,Oreamuno,SINPE
V0091,2026-01-13,P027,4,1350,Oreamuno,SINPE
V0091,2026-01-13,P020,3,1150,Oreamuno,SINPE
V0092,2026-09-17,P019,2,2250,Oreamuno,Efectivo
V0092,2026-09-17,P014,2,3100,Oreamuno,Efectivo
V0092,2026-09-17,P013,4,2500,Oreamuno,Efectivo
V0092,2026-09-17,P029,3,1942,Oreamuno,Efectivo
V0093,2026-09-02,P008,4,2600,Paraiso,Tarjeta
V0093,2026-09-02,P012,3,618,Paraiso,Tarjeta
V0093,2026-09-02,P029,2,1850,Paraiso,Tarjeta
V0093,2026-09-02,P018,2,1102,Paraiso,Tarjeta
V0094,2026-08-19,P019,1,2250,Cartago,Transferencia
V0094,2026-08-19,P009,4,1662,Cartago,Transferencia
V0095,2026-04-01,P999,3,900,Paraiso,Efectivo
V0095,2026-04-01,P019,3,2250,Paraiso,Efectivo
V0095,2026-04-01,P009,3,1750,Paraiso,Efectivo
V0095,2026-04-01,P016,2,1200,Paraiso,Efectivo
V0096,2026-05-22,P015,1,1900,Oreamuno,Efectivo
V0096,2026-05-22,P005,2,1350,Oreamuno,Efectivo
V0097,2026-09-23,P004,2,1890,Paraiso,Efectivo
V0097,2026-09-23,P017,4,998,Paraiso,Efectivo
V0097,2026-09-23,P025,2,900,Paraiso,Efectivo
V0098,2026-01-26,P006,2,3200,Oreamuno,SINPE
V0099,2026-08-05,P011,1,1155,Cartago,SINPE
V0099,2026-08-05,P020,2,1150,Cartago,SINPE
V0099,2026-08-05,P004,4,1800,Cartago,SINPE
V0099,2026-08-05,P002,1,1378,Cartago,SINPE
V0100,2026-05-16,P006,3,3360,Paraiso,SINPE
V0100,2026-05-16,P004,4,1890,Paraiso,SINPE
V0100,2026-05-16,P024,1,2205,Paraiso,SINPE
V0100,2026-05-16,P027,3,1350,Paraiso,SINPE
V0101,2026-08-06,P021,2,2400,Oreamuno,Transferencia
V0101,2026-08-06,P018,2,998,Oreamuno,Transferencia
V0102,2026-06-14,P023,2,1350,Oreamuno,Tarjeta
V0102,2026-06-14,P027,4,1418,Oreamuno,Tarjeta
V0102,2026-06-14,P019,4,2250,Oreamuno,Tarjeta
V0103,2026-09-19,P011,1,1100,Paraiso,Tarjeta
V0103,2026-09-19,P018,3,1050,Paraiso,Tarjeta
V0103,2026-09-19,P016,2,1200,Paraiso,Tarjeta
V0103,2026-09-19,P003,2,950,Paraiso,Tarjeta
V0104,2026-05-11,P003,2,950,Oreamuno,Transferencia
V0104,2026-05-11,P025,2,900,Oreamuno,Transferencia
V0105,2026-07-02,P012,3,650,Cartago,Efectivo
V0105,2026-07-02,P019,2,2362,Cartago,Efectivo
V0105,2026-07-02,P010,4,2800,Cartago,Efectivo
V0106,2026-04-04,P025,1,945,Oreamuno,SINPE
V0106,2026-04-04,P022,4,3500,Oreamuno,SINPE
V0107,2026-01-20,P019,3,2138,Oreamuno ,Tarjeta
V0108,2026-05-08,P021,3,2520,Cartago,Transferencia
V0108,2026-05-08,P023,2,1350,Cartago,Transferencia
V0109,2026-07-11,P002,1,1450,Paraiso,Tarjeta
V0110,2026-09-16,P003,2,950,Oreamuno,SINPE
V0110,2026-09-16,P015,4,1900,Oreamuno,SINPE
V0111,2026-05-12,P006,4,3200,Paraiso,Transferencia
V0111,2026-05-12,P018,2,1050,Paraiso,Transferencia
V0112,2026-09-23,P023,4,1350,Cartago,Tarjeta
V0112,2026-09-23,P020,2,1150,Cartago,Tarjeta
V0112,2026-09-23,P012,3,682,Cartago,Tarjeta
V0113,2026-05-17,P018,4,1102,Paraiso,Transferencia
V0113,2026-05-17,P022,1,3325,Paraiso,Transferencia
V0113,2026-05-17,P017,4,950,Paraiso,Transferencia
V0114,2026-05-05,P003,1,950,Cartago,Tarjeta
V0114,2026-05-05,P011,3,1155,Cartago,Tarjeta
V0114,2026-05-05,P010,4,2940,Cartago,Tarjeta
V0114,2026-05-05,P024,2,2205,Cartago,Tarjeta
V0115,2026-06-14,P026,4,1600,Oreamuno,SINPE
V0116,2026-03-27,P027,2,1282,Oreamuno,Transferencia
V0116,2026-03-27,P029,3,1942,Oreamuno,Transferencia
V0116,2026-03-27,P013,1,2500,Oreamuno,Transferencia
V0117,2026-08-01,P005,1,1282,Oreamuno,Transferencia
V0117,2026-08-01,P004,3,1800,Oreamuno,Transferencia
V0117,2026-08-01,P011,1,1155,Oreamuno,Transferencia
V0117,2026-08-01,P013,4,2625,Oreamuno,Transferencia
V0118,2026-06-04,P004,1,1800,Oreamuno,Tarjeta
V0118,2026-06-04,P025,2,855,Oreamuno,Tarjeta
V0118,2026-06-04,P030,3,1250,Oreamuno,Tarjeta
V0118,2026-06-04,P003,3,950,Oreamuno,Tarjeta
V0119,2026-06-27,P019,3,2250,Cartago,Tarjeta
V0120,2026-04-19,P001,1,1312,Oreamuno,SINPE
V0120,2026-04-19,P017,4,998,Oreamuno,SINPE
V0121,2026-01-10,P016,4,1200,Cartago,Tarjeta
V0121,2026-01-10,P028,4,1100,Cartago,Tarjeta
V0122,2026-04-23,P023,3,1350,Paraiso,SINPE
V0122,2026-04-23,P007,3,850,Paraiso,SINPE
V0122,2026-04-23,P001,2,1188,Paraiso,SINPE
V0122,2026-04-23,P027,3,1418,Paraiso,SINPE
V0123,2026-02-06,P010,2,2660,Paraiso,Tarjeta
V0123,2026-02-06,P015,4,1805,Paraiso,Tarjeta
V0123,2026-02-06,P004,1,1890,Paraiso,Tarjeta
V0123,2026-02-06,P030,3,1188,Paraiso,Tarjeta
V0124,2026-05-10,P021,1,2400,Oreamuno,Efectivo
V0124,2026-05-10,P019,3,2250,Oreamuno,Efectivo
V0124,2026-05-10,P023,3,1350,Oreamuno,Efectivo
V0124,2026-05-10,P003,3,950,Oreamuno,Efectivo
V0125,2026-08-30,P012,4,682,Cartago,Transferencia
V0125,2026-08-30,P022,4,3500,Cartago,Transferencia
V0125,2026-08-30,P030,3,1250,Cartago,Transferencia
V0125,2026-08-30,P025,1,945,Cartago,Transferencia
V0126,2026-02-20,P019,4,2250,PARAISO,Transferencia
V0126,2026-02-20,P018,2,1050,PARAISO,Transferencia
V0127,2026-02-01,P016,1,1200,Oreamuno,Efectivo
V0127,2026-02-01,P008,3,2730,Oreamuno,Efectivo
V0127,2026-02-01,P027,3,1350,Oreamuno,Efectivo
V0128,2026-07-02,P017,3,998,Cartago,SINPE
V0129,2026-07-18,P019,4,2250,Oreamuno,Transferencia
V0130,2026-05-30,P011,4,1100,Cartago,Tarjeta
V0130,2026-05-30,P014,3,2945,Cartago,Tarjeta
V0131,2026-04-01,P013,2,2500,Cartago,SINPE
V0131,2026-04-01,P015,1,1995,Cartago,SINPE
V0132,2026-05-31,P014,4,3255,Paraiso,Tarjeta
V0132,2026-05-31,P016,4,1260,Paraiso,Tarjeta
V0132,2026-05-31,P003,4,902,Paraiso,Tarjeta
V0132,2026-05-31,P026,1,1600,Paraiso,Tarjeta
V0133,2026-04-25,P016,2,1200,Cartago,Tarjeta
V0133,2026-04-25,P005,3,1350,Cartago,Tarjeta
V0133,2026-04-25,P003,1,998,Cartago,Tarjeta
V0134,2026-07-23,P004,3,1800,Cartago,Efectivo
V0134,2026-07-23,P028,2,1045,Cartago,Efectivo
V0134,2026-07-23,P008,1,2470,Cartago,Efectivo
V0135,2026-01-05,P004,2,1800,Paraiso,efectivo
V0136,2026-02-23,P028,3,1045,Oreamuno,Tarjeta
V0136,2026-02-23,P003,2,998,Oreamuno,Tarjeta
V0137,2026-07-25,P004,1,1890,Cartago,Transferencia
V0137,2026-07-25,P020,1,1208,Cartago,Transferencia
V0137,2026-07-25,P021,2,2280,Cartago,Transferencia
V0138,2026-03-29,P008,1,2470,Cartago,Tarjeta
V0138,2026-03-29,P017,1,902,Cartago,Tarjeta
V0138,2026-03-29,P024,1,2205,Cartago,Tarjeta
V0139,2026-09-17,P027,2,1282,CARTAGO,SINPE
V0139,2026-09-17,P011,1,1100,CARTAGO,SINPE
V0139,2026-09-17,P029,4,1850,CARTAGO,SINPE
V0140,2026-06-12,P007,3,808,Paraiso,Efectivo
V0140,2026-06-12,P027,4,1350,Paraiso,Efectivo
V0140,2026-06-12,P013,1,2375,Paraiso,Efectivo
V0141,2026-09-12,P030,3,1188,Oreamuno,Efectivo
V0141,2026-09-12,P016,2,1200,Oreamuno,Efectivo
V0141,2026-09-12,P026,2,1600,Oreamuno,Efectivo
V0141,2026-09-12,P005,4,1418,Oreamuno,Efectivo
V0142,2026-07-10,P005,4,1350,Paraiso ,Transferencia
V0142,2026-07-10,P030,3,1188,Paraiso ,Transferencia
V0142,2026-07-10,P026,4,1600,Paraiso ,Transferencia
V0142,2026-07-10,P027,2,1350,Paraiso ,Transferencia
V0143,2026-06-13,P003,2,902,Cartago,Transferencia
V0144,2026-01-11,P023,1,1282,Oreamuno,Efectivo
V0145,2026-05-23,P022,1,3325,Cartago,Transferencia
V0145,2026-05-23,P011,1,1045,Cartago,Transferencia
V0145,2026-05-23,P021,2,2400,Cartago,Transferencia
V0145,2026-05-23,P013,3,2500,Cartago,Transferencia
V0146,2026-04-27,P008,2,2470,Oreamuno,SINPE
V0146,2026-04-27,P024,3,2205,Oreamuno,SINPE
V0147,2026-08-26,P025,3,900,Cartago,SINPE
V0147,2026-08-26,P027,1,1350,Cartago,SINPE
V0148,2026-01-05,P013,4,2625,Cartago,Transferencia
V0149,2026-04-28,P023,3,1350,Oreamuno,Efectivo
V0150,2026-08-07,P027,2,1350,Paraiso,Tarjeta
V0150,2026-08-07,P003,3,950,Paraiso,Tarjeta
V0150,2026-08-07,P011,4,1155,Paraiso,Tarjeta
V0150,2026-08-07,P020,2,1092,Paraiso,Tarjeta
V0151,2026-05-23,P001,3,1250,Paraiso,SINPE
V0151,2026-05-23,P003,1,950,Paraiso,SINPE
V0152,2026-08-29,P024,4,2100,Paraiso,Efectivo
V0152,2026-08-29,P010,2,2800,Paraiso,Efectivo
V0152,2026-08-29,P008,4,2600,Paraiso,Efectivo
V0153,2026-01-30,P003,2,902,Paraiso,Tarjeta
V0153,2026-01-30,P027,2,1350,Paraiso,Tarjeta
V0154,2026-01-06,P015,3,1900,Cartago,Tarjeta
V0154,2026-01-06,P021,1,2520,Cartago,Tarjeta
V0155,2026-05-23,P005,1,1418,Oreamuno,Efectivo
V0155,2026-05-23,P002,2,1450,Oreamuno,Efectivo
V0155,2026-05-23,P026,2,1520,Oreamuno,Efectivo
V0155,2026-05-23,P001,3,1312,Oreamuno,Efectivo
V0156,2026-08-24,P018,1,998,Cartago,Tarjeta
V0156,2026-08-24,P007,4,850,Cartago,Tarjeta
V0156,2026-08-24,P014,2,3100,Cartago,Tarjeta
V0156,2026-08-24,P017,3,998,Cartago,Tarjeta
V0157,2026-08-27,P013,1,2500,Paraiso,Transferencia
V0157,2026-08-27,P014,1,2945,Paraiso,Transferencia
V0157,2026-08-27,P022,2,3500,Paraiso,Transferencia
V0158,2026-09-01,P018,2,1050,Cartago,Transferencia
V0158,2026-09-01,P022,3,3500,Cartago,Transferencia
V0158,2026-09-01,P001,3,1250,Cartago,Transferencia
V0158,2026-09-01,P020,1,1150,Cartago,Transferencia
V0159,2026-09-23,P005,2,1418,Cartago,Efectivo
V0159,2026-09-23,P014,2,3100,Cartago,Efectivo
V0159,2026-09-23,P028,4,1155,Cartago,Efectivo
V0160,2026-03-13,P020,4,1208,Paraiso,SINPE
V0161,2026-03-04,P008,3,2600,Paraiso,Efectivo
V0161,2026-03-04,P002,3,1522,Paraiso,Efectivo
V0161,2026-03-04,P001,1,1188,Paraiso,Efectivo
V0161,2026-03-04,P022,4,3325,Paraiso,Efectivo
V0162,2026-08-11,P009,1,1662,Cartago,Efectivo
V0162,2026-08-11,P027,1,1282,Cartago,Efectivo
V0163,2026-03-19,P006,3,3200,Cartago,Efectivo
V0163,2026-03-19,P011,2,1100,Cartago,Efectivo
V0164,2026-08-26,P024,3,2205,Cartago,SINPE
V0165,2026-08-29,P020,4,1150,Paraiso,transferencia
V0165,2026-08-29,P010,1,2940,Paraiso,transferencia
V0165,2026-08-29,P025,3,900,Paraiso,transferencia
V0165,2026-08-29,P015,3,1900,Paraiso,transferencia
V0166,2026-01-11,P008,2,2470,Cartago,SINPE
V0166,2026-01-11,P029,2,1850,Cartago,SINPE
V0167,2026-03-16,P001,2,1250,Paraiso,Transferencia
V0167,2026-03-16,P003,1,902,Paraiso,Transferencia
V0167,2026-03-16,P004,4,1710,Paraiso,Transferencia
V0167,2026-03-16,P030,2,1250,Paraiso,Transferencia
V0168,2026-05-12,P001,2,1188,Paraiso,Transferencia
V0168,2026-05-12,P018,4,1102,Paraiso,Transferencia
V0169,2026-03-18,P011,4,1155,Cartago,Transferencia
V0169,2026-03-18,P019,2,2250,Cartago,Transferencia
V0169,2026-03-18,P010,4,2800,Cartago,Transferencia
V0170,2026-05-20,P020,3,1150,Cartago,Transferencia
V0170,2026-05-20,P003,2,950,Cartago,Transferencia
V0170,2026-05-20,P021,1,2280,Cartago,Transferencia
V0171,2026-02-28,P015,3,1995,Oreamuno,Transferencia
V0171,2026-02-28,P006,1,3360,Oreamuno,Transferencia
V0171,2026-02-28,P003,2,950,Oreamuno,Transferencia
V0171,2026-02-28,P022,1,3500,Oreamuno,Transferencia
V0172,2026-08-14,P029,3,1850,Oreamuno,Transferencia
V0172,2026-08-14,P027,2,1350,Oreamuno,Transferencia
V0173,2026-02-22,P001,2,1188,Paraiso,Transferencia
